Nazwa,Nazwa przedsięwzięcia,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
Golden Service Łukasz Malinowski,Wzrost konkurencyjności i odporności firmy Golden Service poprzez wprowadzenie nowych usług wellness oraz wynajem sprzętu rekreacyjnego w regionie mazowieckim.,MAZOWIECKIE,Warszawa,św. Wincentego,40,03-526,522954
BIURO PODRÓŻY I TURYSTYKI KC TRAVEL Katarzyna Cieszewska,Dywersyfikacja działalności firmy BIURO PODRÓŻY I TURYSTYKI KC TRAVEL Katarzyna Cieszewska w celu przeciwdziałania negatywnym skutkom COVID-19 w regionie Warmii i Mazur,WARMIŃSKO-MAZURSKIE,Iława,Jana III Sobieskiego,16A,14-200,531900
SAJGON VU ANH TUAN,Dywersyfikacja oferty firmy o kawiarnię oraz usługi cateringowe w województwie mazowieckim (region nr 2),MAZOWIECKIE,Płock,pl. Nowy Rynek,9,09-400,270142.2
PLEJADES-1 JARCZYŃSKA SPÓŁKA KOMANDYTOWA,Rozszerzenie i dywersyfikacja działalności spółki w celu zwiększenia odporności na sytuacje kryzysowe i zwiększenia konkurencyjność przedsiębiorstwa w woj. mazowieckim.,MAZOWIECKIE,Warszawa,pl. Plac Bankowy,1,00-139,382972.8
STREAMUJ Jakub Gabriel,"Rozszerzenie profilu dotychczasowej działalności w firmy STREAMUJ Jakub Gabriel poprzez inwestycje mające na celu wdrożenie nowych usług, świadczonych w województwie mazowieckim",MAZOWIECKIE,Szeligi,Brzozowa,11,05-850,477393.05
KLUB STUDENCKI ANTAŁEK ROMAN WÓJCIK,Dywersyfikacja działalności firmy KLUB STUDENCKI ANTAŁEK ROMAN WÓJCIK poprzez wdrożenie do oferty nowej usługi w województwie warmińsko-mazurskim (region-2).,WARMIŃSKO-MAZURSKIE,Olsztyn,Michała Oczapowskiego,9,10-719,445951.51
RAJGART SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja i rozszerzenie działalności Kompleksu Rekreacyjnego KNIEJA w ramach wsparcia dla przedsiębiorstw działających w sektorze HoReCa w regionie podlaskim (region 2).,PODLASKIE,Warszawa,Młynarska,42,01-171,528577.35
WPT 1313 RAFAŁ PAWEŁEK,"Przedsięwzięcie WP1313 w zakresie rozszerzenia i dywersyfikacji działalności, w tym uruchomienia nowych usług, krokiem do uodpornienia na kryzysy - woj. mazowieckie",MAZOWIECKIE,Warszawa,Królowej Bony,49,02-496,408334.05
KWIAT WARSZAWY JAN KWIATKOWSKI,Zwiększenie odporności firmy Kwiat Warszawy Jan Kwiatkowski z woj. mazowieckiego,MAZOWIECKIE,Warszawa,Bracka,23,00-028,509315.16
MICHAŁ NOWOSIADŁY NewConsulting,Wdrożenie rozwiązań ekologicznych i wprowadzenie nowej oferty wynajmu sprzętu rekreacyjnego i sportowego w firmie MICHAŁ NOWOSIADŁY NewConsulting w celu uodpornienia firmy na kryzysy na terenie woj. mazowieckiego - region 2,MAZOWIECKIE,Warszawa,Królowej Marysieńki,1,02-954,438300
FANCY FOOD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Rozszerzenie działalności restauracyjnej FANCY FOOD o lekką kuchnię śniadaniową, lunchową i dania z tradycyjnej kuchni polskiej, co doprowadzi do zwiększenia jej odporności na sytuacje kryzysowe - w regionie 2 - województwa mazowieckie, podlaskie, warmińsko-mazurskie",MAZOWIECKIE,Warszawa,Nowogrodzka,31,00-511,404688.6
"PPHU ""MERINO"" DARIUSZ OLSZEWSKI ARTUR TOCZKO","Rozwój działalności poprzez wprowadzenie usług cateringowych „Cateringowe Party”, stanowiących dodatkowy obszar aktywności biznesowej PPHU ""MERINO"" Dariusz Olszewski Artur Toczko, zmniejszających ryzyko sytuacji kryzysowych w Regionie 2 woj. podlaskie.",PODLASKIE,Białystok,Grochowa,6,15-423,311040
Usługi Gastronomiczne Kamil Mamerski,Wzmocnienie konkurencyjności Usługi Gastronomiczne Kamil Mamerski w województwie mazowieckim poprzez wprowadzenie innowacyjnej usługi mobilnego cateringu zewnętrznego oraz organizacji imprez.,MAZOWIECKIE,Lipsko,Przemysłowa,4b,27-300,538164.74
WALK EVENTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Zakup sprzętu multimedialnego, dzięki któremu spółka wprowadzi na rynek nową usługę zapewniając dywersyfikację dotychczasowej działalności oraz zwiększenie konkurencyjności i odporności na sytuacje kryzysowe na obszarze Warszawy oraz województwa mazowieckiego (region 2)",MAZOWIECKIE,Warszawa,Dzielna,60,01-029,491445.06
AIR HOTEL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ZWIĘKSZENIE ODPORNOŚCI FIRMY AIR HOTEL POPRZEZ DYWERSYFIKACJĘ DZIAŁALNOŚCI.,MAZOWIECKIE,Warszawa,al. Aleja Krakowska,42,02-284,539550
BLACK WINGS PAWEŁ JASKÓŁOWSKI,Wprowadzenie w ramach przedsięwzięcia nowego rodzaju usług w postaci zakupu i wynajmu sześcioosobowej łodzi marki Nautic 880 napędzanej silnikiem elektrycznym ePropulsion 6.0 Navy plus bateria 3072Wh. Przedsięwzięliście oparte jest również o element zielonej energii w postaci ogniw fotowoltaicznych zamontowanych na łodzi o mocy 160 W.,WARMIŃSKO-MAZURSKIE,Miłomłyn,Pasłęcka,33,14-140,518158
PRZEDSIĘBIORSTWO HANDLOWO - USŁUGOWE MEGA MAŁGORZATA BIESALSKA,"Wprowadzenie do oferty hotelu Lamberton zlokalizowanego w Ołtarzewie, w województwie mazowieckim nowej usługi polegającej na organizacji wideokonferencji, konferencji hybrydowych oraz zdalnych wydarzeń i streamingów online.",MAZOWIECKIE,Ołtarzew,Poznańska,492,05-850,540000
BC PARTNERS BŁOŃSKA CZUDOWSKI SPÓŁKA JAWNA,Dywersyfikacja działalności firmy BC PARTNERS BŁOŃSKA CZUDOWSKI SPÓŁKA JAWNA działającej w sektorze gastronomia w regionie mazowieckim poprzez inwestycje w bazę usługową i produkcyjną oraz podnoszenie kwalifikacji pracowników,MAZOWIECKIE,Warszawa,Mokotowska,48,00-543,521532.9
MASALA Barbara Wejtko,Urlop w stylu slow life - nowe turystyczne usługi w gminie Zawiszyn woj. warmińsko-mazurskim.,WARMIŃSKO-MAZURSKIE,Zawiszyn,,12,19-504,401150.13
AMPATO RAFAŁ STEFANIAK,Nowe usługi w AMPATO w województwie Mazowieckim na rzecz budowania odporności,MAZOWIECKIE,Józefosław,Zorzy Polarnej,9,05-509,404787.17
Jarosław Grzegorz Głowacki FORDEWIND,Rozwój kompetencji cyfrowych oraz wykorzystanie zaawansowanych technologii do zdalnej obsługi wydarzeń na rynku lokalnym (województwo warmińsko-mazurskie) oraz krajowym.,WARMIŃSKO-MAZURSKIE,Ryn,,6,11-520,205046.65
USŁUGI GASTRONOMICZNE SEBASTIAN KORNACKI,Dywersyfikacja przychodów i wzmocnienie konkurencyjności firmy Usługi Gastronomiczne Sebastian Kornacki w województwie mazowieckim poprzez wprowadzenie mobilnego cateringu oraz organizacji eventów.,MAZOWIECKIE,Warszawa,Giordana Bruna,4A,02-594,538164.74
WALDEMAR CABAJ AWANGARDA,Wprowadzenie nowej usługi i wzmocnienie na sytuacje kryzysowe firmy AWANGARDA dzięki zakupowi łodzi rekreacyjnej typu HouseBoat - Region 2,WARMIŃSKO-MAZURSKIE,Siedlce,Powstańców Warszawy,2,08-110,540000
SZMULSON SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Wzmocnienie odporności oraz potencjału rozwojowego Szmulson Sp. z o.o. poprzez dywersyfikację działalności w obszarze usług eventowych na terenie województwa mazowieckiego,MAZOWIECKIE,Warszawa,Łochowska,45A,03-764,539538.3
PELICULA MAŁGORZATA ZATORSKA TROJANOWSKA,"Dywersyfikacja działalności PELICULA Małgorzata Zatorska Trojanowska w województwie mazowieckim, celem zwiększenia konkurencyjności i odporności w branży HoReCa.",MAZOWIECKIE,Popowo-Letnisko,al. Kamienna,73,07-203,492480.24
Agencja Turystyczna Get Tour Paweł Skarzyński,"Dywersyfikacja usług agencji turystycznej ""Get Tour Paweł Skarzyński"" poprzez dodanie do oferty wypożyczalni sprzętów wodnych",MAZOWIECKIE,Pruszków,Tadeusza Kościuszki,46,05-800,460321.59
BFB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Nowoczesne podejście do gastronomii ""Rob&Jerry Wine&Food"". Region 2 - woj. mazowieckie.",MAZOWIECKIE,Komorów,Jana Matejki,2,05-806,473666.62
KATOM Tomasz Ponichtera,Rozwój potencjału firmy Katom Tomasz Ponichtera poprzez dywersyfikację działalności w obszarze usług cateringowych na terenie województwa mazowieckiego,MAZOWIECKIE,Tłuszcz,Leśna,2,05-240,537904.8
BEST EVENT CATERING ŁUKASZ BIREK,"Dywersyfikacja działalności poprzez powstanie kawiarni z asortymentem piekarniczo-cukierniczym. Zakup i instalacja systemu POS oraz uruchomienie stron internetowych. Szkolenie personelu mające na celu podnoszenie umiejętności i kompetencji pracowników. Analiza dotychczasowego modelu biznesowego przedsiębiorstwa pozwalająca na opracowanie nowego modelu biznesowego pod kątem rozszerzenia lub dywersyfikacji działalności. Region 2: woj. mazowieckie, podlaskie, warmińsko-mazurskie.",MAZOWIECKIE,Wołomin,Nowa Wieś,18,05-200,533085.97
GRUPA FUTURO SPÓŁKA JAWNA KRZYSZTOF OSIECKI," PAWEŁ BERENT,Dywersyfikacja działalności GRUPA FUTURO SPÓŁKA JAWNA KRZYSZTOF OSIECKI, PAWEŁ BERENT i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowych usług SPA oraz wypożyczalni kajaków oraz platformy pływającej - Region 2 - województwo mazowieckie.",MAZOWIECKIE,Grabina,Plażowa,2,09-520,503576.12
TBH GRABOWSKI SPÓŁKA KOMANDYTOWA,Inwestycje związane z zieloną transformacją i działania związane z wykorzystaniem technologii cyfrowych przez Tiffi Boutique Hotel Olsztyn celem wprowadzenia na rynek nowych usług w województwie warmińsko-mazurskim,WARMIŃSKO-MAZURSKIE,Olsztyn,Żeglarska,7,10-160,526500
ADAM KĘDZIOR,Dywersyfikacja i rozbudowa działalności gastronomicznej poprzez inwestycję w niezbędne wyposażenie punktu gastronomicznego,MAZOWIECKIE,Walendów,,3,05-830,468268.41
GOSPODARSTWO AGROTURYSTYCZNE SASEK PIÓRKOWSKA EWA,"Szkolenia jeździeckie oraz integracja z naturą w Sasku”. Dywersyfikacja działalności. Rewitalizacja placu spełniającego możliwość przeprowadzania specjalistycznych szkoleń przygotowujących do zawodów jeździeckich, a także utworzenie części rekreacyjnej polegającej na instalacji nowoczesnej sauny zewnętrznej oraz bali zewnętrznej (ogrodowej). Przedsięwzięcie w Regionie Warmińsko Mazurskim, Sasek Mały 14, 12-100 Szczytno.",WARMIŃSKO-MAZURSKIE,Sasek Mały,,14,12-100,458184.52
MASSIVE FOOD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rozszerzenie działalności przedsiębiorstwa Massive Food Sp. z o.o. z woj. mazowieckiego o usługę cateringu zewnętrznego.,MAZOWIECKIE,Warszawa,Głubczycka,11,02-417,539806.5
OPCW POPIŃSKI I WSPÓLNICY SPÓŁKA JAWNA,Zwiększenie odporności i konkurencyjności przedsiębiorstwa OPCW Popiński i Wspólnicy Sp. j. poprzez dywersyfikację działalności i wprowadzenie nowych usług - region mazowiecki.,MAZOWIECKIE,Warszawa,Żelazna,68,00-866,476537.19
ZOLA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja apartamentów na wynajem wraz z rozszerzeniem oferty usługowej w celu zwiększenia odporności przedsiębiorstwa z województwa warmińsko-mazurskiego na sytuacje kryzysowe.,WARMIŃSKO-MAZURSKIE,Iława,Kętrzyńska,10,14-200,478233.01
BlackPub Komin Halina Urynowicz,"Rozszerzenie i dywersyfikacja działalności „Black Pub Komin” poprzez inwestycje, doradztwo i szkolenia i uruchomienie nowej działalności - ruchomej placówki gastronomicznej, jako przedsiębiorstwa w regionie2, w województwie podlaskim.",PODLASKIE,Suwałki,Emilii Plater,1,16-400,203638.67
CENTRUM PODRÓŻY MAGDALENA LUBIŃSKA,Dywersyfikacja działalności Centrum Podróży Magdalena Lubińska poprzez stworzenie nowej usługi tj. ekologicznie przyjaznej bazy noclegowej z zapleczem SPA i turystycznym w gminie Baboszewo w województwie mazowieckim,MAZOWIECKIE,Płońsk,Grunwaldzka,22,09-100,534960
SEVILLA EWA I SŁAWOMIR ZIELENIEWSCY SPÓŁKA JAWNA,Zwiększenie odporności i dywersyfikacja działalności Sevilla sp. j. poprzez wprowadzenie usługi krótkotrwałego zakwaterowania w wyniku inwestycji w obiekt z zastosowaniem technologii cyfrowych w województwie mazowieckim (Region 2).,MAZOWIECKIE,Warszawa,Lazurowa,4,01-315,540000
CENTRUM KONFERENCYJNO-SZKOLENIOWE BOSS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Dywersyfikacja oferty Centrum Konferencyjno-Szkoleniowego Boss w województwie mazowieckim w celu zwiększenia odporności na przyszłe kryzysy oraz zmniejszenie kosztów działalności operacyjnej poprzez wdrożenie nowych usług, rozwiązań cyfrowych i odnawialnych źródeł energii.",MAZOWIECKIE,Warszawa,Żwanowiecka,20,04-849,504000
ADL BIEŻUŃSKI SPÓŁKA JAWNA,"Inwestycja na terenie województwa warmińsko-mazurskiego w zwiększenie odporności przedsiębiorstwa oraz rozszerzenie działalności gospodarczej o nowe usługi poprzez budowę basenu, zakup sauny, zakup kajaków i domku mobilnego celem pozyskania nowych Klientów",WARMIŃSKO-MAZURSKIE,Jaroty,Stawigudzka,14,10-687,509400
CEPELIAK BOŻENA BABKOWSKA,"Rozszerzenie i dywersyfikacja działalności ""Pokoje pod beczką"" poprzez inwestycje, doradztwo i szkolenia i uruchomienie nowej gałęzi działalności - wyżywienia, gastronomii i cateringu, jako przedsiębiorstwa w regionie2, w województwie podlaskim.",PODLASKIE,Augustów,Młyńska,11,16-300,393991.13
ZJEDZ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Inwestycja na terenie województwa Mazowieckiego w zwiększenie odporności przedsiębiorstwa na przyszłe możliwe kryzysy pandemiczne lub inne poprzez rozszerzenie działalności gospodarczej o nową usługę w spółce Zjedz prowadzącej restaurację Bibenda za sprawą wprowadzenia nowej oferty cateringowej z dowozem oraz kompleksową obsługą wydarzeń celem przyciągnięcia nowych klientów.,MAZOWIECKIE,Warszawa,Nowogrodzka,10,00-511,488545.57
SOMI S.C. KARCZMA BABA JAGA PAULINA SOKOŁOWSKA," EWA WOJSA,Rozszerzenie i dywersyfikacja działalności Karczmy ""Baba Jaga"" koło Radomia polegające na uruchomieniu stacji południowoamerykańskiego barbecue i usług kateringowych",MAZOWIECKIE,Kuczki-Kolonia,,71,26-634,426330.61
Kamil Szymanowski,Zwiększenie odporności działalności gospodarczej na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności Kamil Szymanowski (REGION 2: województwo podlaskie).,PODLASKIE,Warszawa,Międzyborska,11,04-041,538418.09
rękodzieło smaku - Karol Pawęzka,"Dywersyfikacja działalności firmy Rękodzieło Smaku Karol Pawęzka poprzez wprowadzenie usług cateringowych, celem maksymalizacji zysków oraz uodpornienia się na przyszłe kryzysy, w regionie mazowieckim.",MAZOWIECKIE,Warszawa,Szczęśliwicka,40,02-353,395786.7
"KRASNY RADOSŁAW PIKANTERIA ""IL PADRE""",Rozszerzenie i dywersyfikacja działalności Radosław Krasny Pikanteria Il Padre o wprowadzenie nowych usług cateringowych w regionie mazowieckim w mieście Warszawa - region nr 2,MAZOWIECKIE,Warszawa,Walecznych,68a,03-920,529289.1
EXPRESS TOCZKO I WSPÓLNICY SPÓŁKA JAWNA,"Rozszerzenie działalności przedsiębiorstwa EXPRESS Toczko i Wspólnicy Spółka Jawna poprzez wprowadzenie nowej usługi „Cateringowy Lunch”, pozwalającej na poprawę ekonomiki oraz zmniejszenie ryzyka sytuacji kryzysowych, w Regionie 2 obejmującym województwo podlaskie",PODLASKIE,Białystok,M. Curie-Skłodowskiej,4/1,15-097,294552
"Szczyrzyca Beata ""CAFE VERONA""","Rozszerzenie profilu dotychczasowej działalności przedsiębiorstwa Szczyrzyca Beata ""CAFE VERONA"". poprzez inwestycje mające na celu wdrożenie nowych usług, świadczonych w województwie mazowieckim.",MAZOWIECKIE,Legionowo,Warszawska,59,05-120,539257.57
TECHNIKAL ERNEST KALUS,"Rozszerzenie i dywersyfikacja działalności przedsiębiorstwa Technikal z Kętrzyna poprzez uruchomienie wypożyczalni ekologicznych łódek, rowerów i mobilnych domków na wynajem - Sosnowy Raj - Nowe Usługi na Mazurach.",WARMIŃSKO-MAZURSKIE,Kętrzyn,Poznańska,15,11-400,539999.04
FENIKS JAKUB CHROMIŃSKI,"Mobilna kawiarnia. Przyczepa gastronomiczna oferująca sprzedaż lodów kręconych z automatu, kawy, napoi bezalkoholowych, przekąsek słodkich i słonych.",MAZOWIECKIE,Warszawa,Jana Kochanowskiego,29,01-864,170202.6
Jędrusiowa Dolina Beata Staniurska,"Dywersyfikacja działalności przedsiębiorstwa Jędrusiowa Dolina Beata Staniurska o nowe usługi związane z wypożyczaniem i dzierżawą sprzętu rekreacyjnego i sportowego - czyli w pełni ekologicznych, nowoczesnych jachtów żaglowych w regionie nr 2.",PODLASKIE,Piątnica Poduchowna,Stawiskowska,59,18-421,531207
MMZ Michał Zubrzycki,Dywersyfikacja działalności gospodarczej MMZ Michał Zubrzycki o usługi gastronomiczne realizowane w przyczepach gastronomicznych w województwie mazowieckim (REGION 2).,MAZOWIECKIE,Warszawa,Kobielska,23,04-359,540000
BUXIDA EWA ZWARDOŃ,BIKE’OVE MAZOWSZE,MAZOWIECKIE,Warszawa,Josepha Conrada,3c,01-922,417360.6
MAMUT CAMP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja oferty sportowo-rekreacyjnej Akademii Aktywnego Wypoczynku Mamut Camp działającego w województwie mazowieckim o wypożyczalnię rowerów i kajaków.,MAZOWIECKIE,Strzegowo,św. Anny,1B,06-445,288382.18
Pierzchała," Aleksandra Elcinto,Dywersyfikacja działalności i wprowadzenie nowego produktu w Dworze Afrodyta w Regionie 2 - województwo mazowieckie",MAZOWIECKIE,Tartak Brzózki,Letniskowa,2,96-325,333985.9
FOLWARK ŁĘKUK PRZYŁUCCY SPÓŁKA JAWNA,"Rozszerzenie i dywersyfikacja usług świadczonych przez Folwark Łękuk w oparciu o nowe i rozszerzone usługi, a także inwestycje w rozwiązania cyfrowe, proekologiczne i usługi rozwojowe podnoszące konkurencyjność firmy, zwiększające jej odporność na wypadek kolejnych kryzysów - realizowane w woj. warmińsko - mazurskim - Region 2",WARMIŃSKO-MAZURSKIE,Łękuk Mały,,8,11-510,423016.75
"Bar gastronomiczny ""BAS"" Barbara Staniurska","W ramach przedsięwzięcia MŚP wprowadzenie nowego rodzaju usług w celu dywersyfikacji przedsiębiorstwa Bar gastronomiczny ""BAS"" Barbara Staniurska, w postaci zakupu i wynajmu dwóch łodzi motorowodnych o nazwie; Quicksilver Activ Silver 605 Cruiser, oraz Quicksilver Activ 675 Cruiser, napędzanych silnikami elektrycznymi zeroemisyjnymi. Przedsięwzięcie jest również oparte o element zielonej energii, w postaci instalacji fotowoltaicznej zamontowanych na łodziach o mocy 400 W.",WARMIŃSKO-MAZURSKIE,Kisielnica,,2B,18-421,529550
KARO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rozszerzenie oferty usługowej i produktowej firmy Karo Sp. z o.o. na terenie województwa mazowieckiego.,MAZOWIECKIE,Mleczków,Jana Pawła II,2,26-652,539496.66
F.H.U.RAVIOLI S.C. KATARZYNA SZYPKOWSKA ADAM SZYPKOWSKI,"Inwestycja w dywersyfikację działalności firmy poprzez wdrożenie nowego produktu wraz z inwestycją w zieloną transformację, działania związane z wykorzystaniem technologii cyfrowych i szkolenie pracowników oraz usługi doradcze: województwo warmińsko-mazurskie.",WARMIŃSKO-MAZURSKIE,Olsztyn,Dworcowa,35,10-437,509905.16
ADVICE TOMASZ GAŁĄZKA,"Wprowadzenie w ramach przedsięwzięcia nowego rodzaju usług w postaci zakupu i wynajmu dwunastoosobowej Łodzi marki Quicksilver Activ 875 Sundeck napędzanej silnikiem elektrycznym Mercury Avator E 35. Przedsięwzięcie jest również oparte o element zielonej energii, w postaci ogniw fotowoltaicznych zamontowanych na łodzi o mocy 400 W.",WARMIŃSKO-MAZURSKIE,Łomża,Przykoszarowa,16,18-400,518760
1.GASTROMAN Roman Koncowik 2.KRÓL KEBAB Roman Koncowik - wspólnik spółki cywilnej,"Rozszerzenie dotychczasowej działalności świadczonej w województwie podlaskim - Białystok poprzez wprowadzenie dywersyfikacji do obecnej działalności gastronomicznej (lody włoskie i lody rzemieślnicze) oraz nowych usługi (wynajem krótkoterminowy) w firmie Gastroman. Przedsięwzięcie MŚP to działania inwestycyjne, szkoleniowe i doradcze oraz transformacja cyfrowa.",PODLASKIE,Białystok,pl. Rynek Kościuszki,24,15-426,471978.58
"HAPON ANNA PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE ""AHA""","Rozwój i zwiększenie odporności przedsiębiorstwa handlowo - usługowego ""AHA"" Hapon Anna na czynniki zewnętrzne - województwo warmińsko-mazurskie",WARMIŃSKO-MAZURSKIE,Ełk,Nadjeziorna,2B,19-300,527519.7
OŚRODEK ROZWOJU SPORTOWCA Mleczek Adrian,"Rozszerzenie działalności OŚRODKA ROZWOJU SPORTOWCA Mleczek Adrian w województwie podlaskim poprzez zakup nowoczesnego sprzętu do saunowania, treningu odchudzającego oraz poprawy kondycji fizycznej.",PODLASKIE,Sulki,Wesoła,1,18-413,474420.91
Biuro Podróży PITUR Piotr Kociszewski,Wzmocnienie i dywersyfikacja działalności przedsiębiorcy z branży HORECA: BIURO PODRÓŻY PITUR PIOTR KOCISZEWSKI,MAZOWIECKIE,Warszawa,Nowy Świat,53,00-042,398363.71
POWER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Padel Play & Travel: Połącz Sport i Podróże. Przedsięwzięcie MŚP Power sp. z o.o. w województwie mazowieckim,MAZOWIECKIE,Warszawa,Jana Kowalczyka,1,03-193,491498.84
SUSHI-KO MARIOLA NOWOGRODZKA,Catering nowa usługa i dywersyfikacja działalności firmy w celu wzmocnienia jej w okresach zagrożenia,WARMIŃSKO-MAZURSKIE,Olsztyn,Juliana Tuwima,26,10-900,501300
PAN TADEUSZ S.C. MARZENA I TADEUSZ SZMURŁO,"Rozszerzenie działalności firmy Pan Tadeusz s.c. Marzena i Tadeusz Szmurło poprzez uruchomienie nowych usług, mających na celu poprawę odporności firmy. (Region 2 – woj.mazowieckie)",MAZOWIECKIE,Warszawa,Stefana Batorego,37,02-591,538870.5
event-expert Jakub Wolański,Rozszerzenie i dywersyfikacja oferty firmy event-expert Jakub Wolański poprzez wprowadzenie nowej usługi – mobilnego kina w woj. mazowieckim,MAZOWIECKIE,Książenice,al. Jarzębinowa,25,05-825,521280
